epoch,loss
0,21612426.0
1,21104568.0
2,20978356.0
3,20834826.0
4,20733004.0
5,20661680.0
6,20606480.0
7,20560802.0
8,20521006.0
9,20486712.0
10,20469872.0
11,20467056.0
12,20464678.0
13,20461632.0
14,20458850.0
15,20456498.0
16,20453904.0
17,20451674.0
18,20449066.0
19,20445620.0
20,20444568.0
21,20444336.0
22,20444102.0
23,20443926.0
24,20443412.0
25,20443006.0
26,20443170.0
27,20442432.0
28,20442780.0
29,20442338.0
30,20441844.0
31,20441856.0
32,20441794.0
33,20441664.0
34,20441542.0
35,20441682.0
36,20441846.0
37,20441546.0
38,20441860.0
39,20442038.0
40,20441974.0
41,20442224.0
42,20441724.0
43,20441616.0
44,20441620.0
45,20441714.0
46,20441834.0
47,20442110.0
48,20441892.0
49,20441690.0
50,20441642.0
51,20441768.0
52,20442010.0
53,20441818.0
54,20441772.0
55,20441798.0
56,20441834.0
57,20442156.0
58,20441878.0
59,20441436.0
60,20441460.0
61,20441588.0
62,20441662.0
63,20441892.0
64,20441786.0
65,20441660.0
66,20441864.0
67,20441784.0
68,20441732.0
69,20441862.0
70,20442072.0
71,20441674.0
72,20441908.0
73,20441808.0
74,20442080.0
75,20442140.0
76,20441786.0
77,20441426.0
78,20441638.0
79,20441752.0
80,20441906.0
81,20441590.0
82,20441858.0
83,20441764.0
84,20441762.0
85,20441818.0
86,20442032.0
87,20441648.0
88,20441494.0
89,20441658.0
90,20442080.0
91,20441842.0
92,20441658.0